verifyName,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,id
张耀天,28176,0.3563,572,1973,75599.08768,58.92954891,593,140,0,0,33,1761329080
姜怡伊,19327,0.3803,320,282,384596.5957,50.35815603,92,10,0,0,33,1562500197
李晓琨,24078,0.3769,165,1928,57248.68257,34.21939834,369,154,0,0,33,2246610822
李洺中,19356,0.351,250,838,87267.70883,66.18138425,161,250,0,0,33,1814660024
钟文斌,19852,0.3604,340,211,615827.7725,46.05687204,66,9,0,0,33,1913613277
于伟杰,20425,0.376,376,594,211640.404,50.88888889,126,79,0,0,33,1917094225
田渤,20192,0.3407,411,769,176071.9896,66.0663199,195,20,0,0,33,1748279101
张喜,22314,0.3779,451,1537,81943.29213,45.03708523,560,70,0,0,33,2010539445
海一天,17718,0.3627,119,190,375012.3158,38.75789474,22,10,0,0,33,1799089533
史林,18882,0.3663,95,150,772716.4,50.12,24,19,0,0,33,1283107964
吉瑞琛,20783,0.3436,298,695,170078.1583,36.88920863,96,12,2408,0,34,2054459963
张桃桃,22102,0.3632,297,340,415917.1765,60.30294118,103,5,0,0,34,1459880241
田琳,18467,0.3658,475,419,272049.7375,57.10501193,167,56,0,0,34,1006601674
杨子涵,19872,0.3572,377,506,255159.249,57.5256917,218,10,0,0,34,1821733395
朱小芾,17370,0.3593,1065,2834,55894.00141,47.46365561,866,136,0,0,34,1633705580
杨斯元,21964,0.375,487,1684,87061.49644,51.74465558,532,207,0,0,34,1723234827
郑子好,27522,0.3805,485,232,444950.431,42.65517241,49,3,0,0,34,2359620813
张腾飞,29492,0.3667,1257,182,139582.7473,80.58791209,58,10,0,0,34,3224691715
曾少宗,31218,0.3466,373,1342,115944.456,59.80774963,121,75,0,0,34,1726134784
徐小奥,24906,0.3783,578,1117,116049.4002,55.25783348,328,25,0,0,34,1367721815
冯馨瑶,19071,0.3514,159,122,1198313.115,46.45901639,55,1,0,0,34,1608069231
张佑赫,19752,0.326,35,419,369343.8186,52.91646778,54,13,0,0,34,1698796205
马崇乐,27144,0.4047,980,307,436534.0065,38.94136808,38,5,0,0,34,1900937051
孔恐,17255,0.3668,300,1703,83777.19319,60.91250734,529,73,0,0,34,1341001512
范姜,24767,0.3421,198,1084,124515.5535,45.63284133,313,131,0,0,34,1869123913
李溪芮,17118,0.3392,49,209,598164.4019,45.55502392,120,12,0,0,34,1158709993
戴路,20760,0.3729,282,326,396971.0429,38.32208589,85,4,0,0,34,1863795041
黄鹤飞,23616,0.3439,243,235,304105.5319,52.77446809,82,5,0,0,34,1842098651
高登,18598,0.3457,72,1299,115995.2425,48.42879138,365,155,0,0,34,1244512822
杜岩,19846,0.3617,151,132,932114.0909,43.67424242,33,4,0,0,34,1866316124
裴子添,18070,0.3454,97,114,227323.6842,49.48245614,27,1,0,0,34,1762210562
